Date : 2026-04-12 19:50:28
Directory : e:\Сайты\Nodes
Total : 156 files,  20759 codes, 5541 comments, 2301 blanks, all 28601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Сайты\Nodes\nodes-frontend\postcss.config.js                                             | JavaScript         |          6 |          0 |          1 |          7 |
| e:\Сайты\Nodes\nodes-frontend\public\vite.svg                                               | XML                |          1 |          0 |          0 |          1 |
| e:\Сайты\Nodes\nodes-frontend\src\App.css                                                   | PostCSS            |         37 |          0 |          6 |         43 |
| e:\Сайты\Nodes\nodes-frontend\src\App.tsx                                                   | TypeScript JSX     |         95 |          7 |         13 |        115 |
| e:\Сайты\Nodes\nodes-frontend\src\assets\react.svg                                          | XML                |          1 |          0 |          0 |          1 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ErrorBoundary.tsx                              | TypeScript JSX     |         74 |          0 |         11 |         85 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ThemeToggle.tsx                                | TypeScript JSX     |         16 |          0 |          4 |         20 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\badge.tsx                                   | TypeScript JSX     |         31 |          0 |          6 |         37 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\button.tsx                                  | TypeScript JSX     |         53 |          1 |          6 |         60 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\card-tilt.tsx                               | TypeScript JSX     |        122 |          0 |         20 |        142 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\card.tsx                                    | TypeScript JSX     |         68 |          0 |          9 |         77 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\checkbox.tsx                                | TypeScript JSX     |         25 |          0 |          4 |         29 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\connector-tag.tsx                           | TypeScript JSX     |         74 |          0 |          4 |         78 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\dialog.tsx                                  | TypeScript JSX     |        108 |          0 |         13 |        121 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\input.tsx                                   | TypeScript JSX     |         19 |          0 |          4 |         23 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\label.tsx                                   | TypeScript JSX     |         20 |          0 |          5 |         25 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\popover.tsx                                 | TypeScript JSX     |         25 |          0 |          7 |         32 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\radio-group.tsx                             | TypeScript JSX     |         39 |          0 |          6 |         45 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\scroll-area.tsx                             | TypeScript JSX     |         42 |          0 |          5 |         47 |
