Date : 2026-03-02 09:35:07
Directory : d:\Сайты\Nodes
Total : 112 files,  17604 codes, 5304 comments, 1780 blanks, all 24688 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Сайты\Nodes\nodes-frontend\src\store\useAppStore.ts                                      | TypeScript         |         10 |          0 |          3 |         13 |
| d:\Сайты\Nodes\nodes-frontend\src\store\useNodesStore.ts                                    | TypeScript         |        149 |         20 |         29 |        198 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\BinaryControl.test.tsx                              | TypeScript JSX     |         86 |          2 |         20 |        108 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStability.test.tsx                          | TypeScript JSX     |         35 |          0 |         13 |         48 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStats.test.tsx                              | TypeScript JSX     |         27 |          0 |         11 |         38 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\NotFoundPage.test.tsx                               | TypeScript JSX     |         22 |          0 |          3 |         25 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\QuantityControl.test.tsx                            | TypeScript JSX     |        134 |          0 |         29 |        163 |
| d:\Сайты\Nodes\nodes-frontend\src\tests\setup.ts                                            | TypeScript         |         15 |          2 |          4 |         21 |
| d:\Сайты\Nodes\nodes-frontend\src\types\index.ts                                            | TypeScript         |         55 |         31 |         13 |         99 |
| d:\Сайты\Nodes\nodes-frontend\src\widgets\Layout.tsx                                        | TypeScript JSX     |         88 |          7 |          9 |        104 |
| d:\Сайты\Nodes\nodes-frontend\src\widgets\ProtectedRoute.tsx                                | TypeScript JSX     |         26 |          0 |          7 |         33 |
| d:\Сайты\Nodes\nodes-frontend\tailwind.config.js                                            | JavaScript         |         10 |          1 |          1 |         12 |
| d:\Сайты\Nodes\nodes-frontend\tsconfig.app.json                                             | JSON               |         28 |          3 |          4 |         35 |
| d:\Сайты\Nodes\nodes-frontend\tsconfig.json                                                 | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\Сайты\Nodes\nodes-frontend\tsconfig.node.json                                            | JSON               |         22 |          2 |          3 |         27 |
| d:\Сайты\Nodes\nodes-frontend\vercel.json                                                   | JSON               |          8 |          0 |          1 |          9 |
| d:\Сайты\Nodes\nodes-frontend\vite.config.ts                                                | TypeScript         |         29 |          1 |          2 |         32 |
| d:\Сайты\Nodes\nodes-frontend\vitest.config.ts                                              | TypeScript         |         15 |          0 |          2 |         17 |
| d:\Сайты\Nodes\vercel.json                                                                  | JSON               |          8 |          0 |          1 |          9 |
| Total                                                                                       |                    |     17,604 |      5,304 |      1,780 |     24,688 |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
