"filename", "language", "Markdown", "JSON", "Skill", "HTML", "TypeScript", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Сайты\Nodes\nodes-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0
"d:\Сайты\Nodes\nodes-frontend\knip.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Сайты\Nodes\nodes-frontend\package-lock.json", "JSON", 0, 2595, 0, 0, 0, 0, 0, 0, 0, 0, 2595
"d:\Сайты\Nodes\nodes-frontend\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Сайты\Nodes\nodes-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 2, 1, 21
"d:\Сайты\Nodes\nodes-frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\card-tilt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 20, 142
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 13, 121
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Сайты\Nodes\nodes-frontend\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"d:\Сайты\Nodes\nodes-frontend\src\features\connectors\connectorService.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 9, 15, 95
"d:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\CapacityBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"d:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\DailyFocusSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 2, 13, 132
"d:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\WeekCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 1, 10, 94
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\__tests__\nodeService.test.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 10, 20, 102
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\ColorPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 6, 4, 53
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\ConnectorSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 18, 16, 213
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\CreateNodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 394, 0, 28, 34, 456
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\EditNodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 20, 30, 392
"d:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\IconPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 10, 9, 160
